CookingMethod,DryingMethod,Replicate,Plot,Individual,NumQuarters
Microwave,Oven,1,1,1,16
Microwave,Oven,1,1,2,29
Stove,Oven,1,1,1,19
Microwave,Air,1,2,1,9
Microwave,Air,1,2,2,11
Stove,Air,1,2,1,3
Stove,Air,1,2,2,8
Microwave,Air,2,3,1,6
Microwave,Air,2,3,2,11
Stove,Air,2,3,1,11
Stove,Air,2,3,2,8
Microwave,Oven,2,4,1,31
Microwave,Oven,2,4,2,29
Stove,Oven,2,4,1,30
Stove,Oven,2,4,2,25
Microwave,Air,3,5,1,11
Microwave,Air,3,5,2,8
Stove,Air,3,5,1,9
Stove,Air,3,5,2,10
Microwave,Air,4,6,1,8
Microwave,Air,4,6,2,10
Stove,Air,4,6,1,7
Stove,Air,4,6,2,10
Microwave,Oven,3,7,1,36
Microwave,Oven,3,7,2,30
Stove,Oven,3,7,1,31
Stove,Oven,3,7,2,27
Microwave,Oven,4,8,1,24
Stove,Oven,4,8,1,27
Stove,Oven,4,8,2,23
Microwave,Air,5,9,1,4
Microwave,Air,5,9,2,7
Stove,Air,5,9,1,9
Stove,Air,5,9,2,10
Microwave,Oven,5,10,1,28
Stove,Oven,5,10,1,18
Stove,Oven,5,10,2,23
Microwave,Oven,6,11,1,32
Microwave,Oven,6,11,2,29
Stove,Oven,6,11,1,20
Stove,Oven,6,11,2,25
Microwave,Air,6,12,1,9
Microwave,Air,6,12,2,11
Stove,Air,6,12,1,13
